train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
0.39126,0.68467,0.84053,0.27992,0.52907,0.3912575765112865,591.1901981085539,0.3734,0.69638,0.86418,0.27804,0.52729,0.37337742902246523,120.97428700327873,0.36987,0.70148,0.85829,0.25778,0.50772,0.3698471105301086,119.83046381175518
0.38235,0.69804,0.84752,0.26805,0.51773,0.3823389702388421,577.7141840308905,0.3805,0.69335,0.84812,0.28081,0.52991,0.38061691259528385,123.31987968087196,0.37724,0.69345,0.8429,0.26472,0.51451,0.3771730021654088,122.20405270159245
0.3808,0.70016,0.84866,0.26616,0.51591,0.3807982655450416,575.3861792385578,0.36482,0.71857,0.86894,0.25771,0.50766,0.3649353705070637,118.23906004428864,0.36267,0.72152,0.86203,0.24048,0.49038,0.3627198895462501,117.52124421298504
0.37571,0.7068,0.85322,0.26027,0.51017,0.3757220790293105,567.7160614132881,0.36486,0.73098,0.87741,0.24635,0.49633,0.36520338725344637,118.32589747011662,0.36166,0.72929,0.8719,0.23377,0.4835,0.36164394250990434,117.172637373209
0.37029,0.71619,0.85753,0.25193,0.50193,0.37027978577572807,559.4927563071251,0.38058,0.68488,0.85402,0.28856,0.53718,0.38047309072665225,123.27328139543533,0.37805,0.68746,0.84752,0.26989,0.51951,0.378081647058328,122.49845364689827
0.36725,0.71946,0.85887,0.24903,0.49903,0.3672530754937154,554.9193970710039,0.34339,0.75142,0.88001,0.22764,0.47711,0.34341654862150733,111.26696175336838,0.34331,0.74424,0.86975,0.22086,0.46995,0.3433184722139512,111.23518499732018
0.36022,0.7291,0.86417,0.24047,0.49038,0.3602221317633661,544.2956410944462,0.34942,0.7326,0.87317,0.24487,0.49484,0.34932460479530286,113.18117195367813,0.34696,0.73426,0.86722,0.22948,0.47904,0.3469784575755949,112.42102025449276
0.35489,0.73659,0.86795,0.23382,0.48355,0.35491585027374706,536.2778497636318,0.35224,0.74103,0.87328,0.23715,0.48698,0.35212192173909257,114.087502643466,0.35149,0.72823,0.86426,0.23469,0.48444,0.35139871163316716,113.85318256914616
0.35131,0.74166,0.87058,0.22933,0.47888,0.35130977584264833,530.8290712982416,0.33887,0.75615,0.88367,0.2233,0.47255,0.3389170348276327,109.80911928415298,0.33771,0.75365,0.87562,0.21273,0.46123,0.337590273561669,109.37924863398075
0.34707,0.74449,0.87348,0.22682,0.47625,0.3470561222218268,524.4018006771803,0.40318,0.66244,0.87383,0.30911,0.55598,0.4031957960055198,130.63543790578842,0.39448,0.66867,0.8696,0.28611,0.53489,0.39450401426465426,127.81930062174797
