train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.61,0.57,0.51,0.54,0.63,0.7192997669472414,24.456192076206207,0.52,0.49,0.35,0.41,0.54,0.7277748823165894,3.6388744115829468,1712838784,,True,5,c2508cf1,2024-04-11_14-33-04,12.826066732406616,78.94582295417786,48540,AT-MB-PC-E13,127.0.0.1,78.94582295417786,5,128,3,0.2,0.0001,c2508cf1
0.63,0.59,0.6,0.59,0.68,0.7022563184008879,23.876714825630188,0.54,0.67,0.08,0.15,0.54,1.2662548422813416,6.331274211406708,1712839000,,True,5,800271a9,2024-04-11_14-36-40,41.52189064025879,215.77270817756653,48540,AT-MB-PC-E13,127.0.0.1,215.77270817756653,5,64,10,0.2,0.001,800271a9
0.73,0.69,0.72,0.71,0.8,0.5496368977953406,18.68765452504158,0.62,0.6,0.62,0.61,0.66,0.7510201334953308,3.755100667476654,1712839624,,True,15,e04aa506,2024-04-11_14-47-04,40.428690671920776,623.7063956260681,48540,AT-MB-PC-E13,127.0.0.1,623.7063956260681,15,128,10,0.2,0.0001,e04aa506
0.67,0.62,0.68,0.65,0.72,0.6994951560216791,23.78283530473709,0.58,0.55,0.64,0.59,0.55,1.3935657143592834,6.967828571796417,1712839710,,True,5,1fe1aea6,2024-04-11_14-48-30,13.525753498077393,86.24947905540466,48540,AT-MB-PC-E13,127.0.0.1,86.24947905540466,5,64,3,0.2,0.001,1fe1aea6
0.89,0.88,0.86,0.87,0.95,0.2859150364118464,9.721111238002777,0.74,0.72,0.74,0.73,0.8,0.6502427339553833,3.2512136697769165,1712843011,,True,100,19c00f04,2024-04-11_15-43-31,27.834555625915527,3300.371479988098,48540,AT-MB-PC-E13,127.0.0.1,3300.371479988098,100,128,10,0.2,0.0001,19c00f04
0.65,0.59,0.65,0.62,0.71,0.6672182942137999,22.685422003269196,0.5,0.46,0.31,0.37,0.5,1.000710380077362,5.00355190038681,1712840174,,True,5,bb50abcf,2024-04-11_14-56-14,34.03701591491699,214.83979892730713,2232,AT-MB-PC-E13,127.0.0.1,214.83979892730713,5,64,10,0.2,0.001,bb50abcf
0.52,0.45,0.4,0.43,0.51,0.8452910132267896,28.739894449710846,0.5,0.46,0.31,0.37,0.5,0.7633943319320678,3.8169716596603394,1712840220,,True,5,32edefbe,2024-04-11_14-57-00,13.553080797195435,80.57240867614746,43848,AT-MB-PC-E13,127.0.0.1,80.57240867614746,5,128,3,0.2,1e-05,32edefbe
0.93,0.93,0.91,0.92,0.98,0.17113199873882182,5.818487957119942,0.74,0.75,0.67,0.71,0.78,0.8183553993701935,4.091776996850967,1712843172,,True,100,52d58800,2024-04-11_15-46-12,12.58811068534851,2997.3528184890747,2232,AT-MB-PC-E13,127.0.0.1,2997.3528184890747,100,128,10,0.0,0.0001,52d58800
0.72,0.67,0.72,0.69,0.8,0.5643225987167919,19.186968356370926,0.67,0.64,0.69,0.67,0.66,0.915459668636322,4.57729834318161,1712840856,,True,15,b9ddc65d,2024-04-11_15-07-36,39.73707175254822,636.4719681739807,43848,AT-MB-PC-E13,127.0.0.1,636.4719681739807,15,64,10,0.2,0.0001,b9ddc65d
0.66,0.62,0.65,0.63,0.71,0.728816552197232,24.779762774705887,0.54,0.6,0.08,0.15,0.55,1.1924907445907593,5.962453722953796,1712840932,,True,5,3f94ae36,2024-04-11_15-08-52,12.93536639213562,76.03860878944397,43848,AT-MB-PC-E13,127.0.0.1,76.03860878944397,5,128,3,0.2,0.001,3f94ae36
0.56,0.51,0.42,0.46,0.59,0.6962448393597322,23.672324538230896,0.44,0.39,0.32,0.35,0.5,0.7357012271881104,3.6785061359405518,1712841067,,True,5,cbf2d344,2024-04-11_15-11-07,24.799049377441406,134.30815505981445,43848,AT-MB-PC-E13,127.0.0.1,134.30815505981445,5,64,6,0.0,1e-05,cbf2d344
0.73,0.7,0.68,0.69,0.8,0.5432351091328789,18.469993710517883,0.56,0.52,0.74,0.61,0.68,0.7426483273506165,3.7132416367530823,1712841277,,True,15,fd01a292,2024-04-11_15-14-37,13.83185601234436,210.15403652191162,43848,AT-MB-PC-E13,127.0.0.1,210.15403652191162,15,128,3,0.2,0.001,fd01a292
0.52,0.45,0.4,0.43,0.51,0.8452911324360791,28.73989850282669,0.5,0.46,0.31,0.37,0.5,0.7633944272994995,3.8169721364974976,1712841352,,True,5,33c9c8f5,2024-04-11_15-15-52,12.93497109413147,75.22737240791321,43848,AT-MB-PC-E13,127.0.0.1,75.22737240791321,5,256,3,0.2,1e-05,33c9c8f5
0.61,0.57,0.51,0.54,0.63,0.7190844521803015,24.44887137413025,0.5,0.47,0.33,0.39,0.54,0.7271416306495666,3.6357081532478333,1712841427,,True,5,32465ab2,2024-04-11_15-17-07,12.202001571655273,74.52618956565857,43848,AT-MB-PC-E13,127.0.0.1,74.52618956565857,5,128,3,0.2,0.0001,32465ab2
0.66,0.62,0.6,0.61,0.71,0.6612044695545646,22.480951964855194,0.54,0.51,0.78,0.62,0.6,0.9265852451324463,4.6329262256622314,1712841558,,True,5,d02e7051,2024-04-11_15-19-18,24.196398496627808,130.9362087249756,43848,AT-MB-PC-E13,127.0.0.1,130.9362087249756,5,256,6,0.0,0.001,d02e7051
0.61,0.57,0.51,0.54,0.63,0.7201197305146385,24.48407083749771,0.52,0.5,0.36,0.42,0.55,0.7154537677764893,3.5772688388824463,1712841632,,True,5,3b8fa6a4,2024-04-11_15-20-32,13.124759674072266,74.74307680130005,43848,AT-MB-PC-E13,127.0.0.1,74.74307680130005,5,64,3,0.2,0.0001,3b8fa6a4
