train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722638,,False,21,1b2ef0be,2024-05-14_23-37-18,115.34138417243958,2466.21723818779,32628,AT-MB-PC-E13,127.0.0.1,2466.21723818779,21,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722753,,False,22,1b2ef0be,2024-05-14_23-39-13,115.38238787651062,2581.5996260643005,32628,AT-MB-PC-E13,127.0.0.1,2581.5996260643005,22,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722868,,False,23,1b2ef0be,2024-05-14_23-41-08,115.08495092391968,2696.68457698822,32628,AT-MB-PC-E13,127.0.0.1,2696.68457698822,23,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722984,,False,24,1b2ef0be,2024-05-14_23-43-04,115.81378936767578,2812.498366355896,32628,AT-MB-PC-E13,127.0.0.1,2812.498366355896,24,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723099,,False,25,1b2ef0be,2024-05-14_23-44-59,114.46759700775146,2926.9659633636475,32628,AT-MB-PC-E13,127.0.0.1,2926.9659633636475,25,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723215,,False,26,1b2ef0be,2024-05-14_23-46-55,116.00442337989807,3042.9703867435455,32628,AT-MB-PC-E13,127.0.0.1,3042.9703867435455,26,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723330,,False,27,1b2ef0be,2024-05-14_23-48-50,115.47304606437683,3158.4434328079224,32628,AT-MB-PC-E13,127.0.0.1,3158.4434328079224,27,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723446,,False,28,1b2ef0be,2024-05-14_23-50-46,115.48837113380432,3273.9318039417267,32628,AT-MB-PC-E13,127.0.0.1,3273.9318039417267,28,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723559,,False,29,1b2ef0be,2024-05-14_23-52-39,113.71965074539185,3387.6514546871185,32628,AT-MB-PC-E13,127.0.0.1,3387.6514546871185,29,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715723675,,False,30,1b2ef0be,2024-05-14_23-54-35,115.43568587303162,3503.08714056015,32628,AT-MB-PC-E13,127.0.0.1,3503.08714056015,30,256,3,0.001
