train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.92,0.15,0.63,0.27195870797423755,46.232980355620384,0.07,0.93,0.13,0.52,0.4046319279074669,10.115798197686672,1712169836,,True,5,b41e5536,2024-04-03_20-43-56,281.0099380016327,1497.5166659355164,2388,AT-MB-PC-EOS,127.0.0.1,1497.5166659355164,5,128,10,0.5,0.001,b41e5536
0.08,0.96,0.82,0.97,0.0940539105083136,15.989164786413312,0.07,0.94,0.45,0.81,0.2385234323143959,5.963085807859898,1712183209,,True,100,426dc6da,2024-04-04_00-26-49,73.89333128929138,13840.51860499382,38880,AT-MB-PC-EOS,127.0.0.1,13840.51860499382,100,256,6,0.2,0.001,426dc6da
0.08,0.92,0.16,0.64,0.26931111356791326,45.78288930654526,0.07,0.93,0.15,0.55,0.49470447897911074,12.367611974477768,1712171232,,True,5,2bc405f8,2024-04-03_21-07-12,277.87311339378357,1388.1503472328186,21572,AT-MB-PC-EOS,127.0.0.1,1388.1503472328186,5,256,10,0.5,0.001,2bc405f8
0.08,0.93,0.35,0.8,0.20698823113651837,35.18799929320812,0.07,0.93,0.29,0.72,0.27697459697723387,6.924364924430847,1712172507,,True,15,2a56c282,2024-04-03_21-28-27,173.1837306022644,2629.495388507843,24552,AT-MB-PC-EOS,127.0.0.1,2629.495388507843,15,256,6,0.2,0.001,2a56c282
0.08,0.58,0.09,0.53,0.6685080601888544,113.64637023210526,0.07,0.67,0.11,0.57,0.6312239933013916,15.78059983253479,1712172617,,True,5,5918ea22,2024-04-03_21-30-17,272.61629486083984,1376.83442902565,29492,AT-MB-PC-EOS,127.0.0.1,1376.83442902565,5,256,10,0.5,1e-05,5918ea22
0.08,0.96,0.82,0.97,0.09490211965406642,16.133360341191292,0.07,0.93,0.43,0.82,0.2467641106247902,6.169102765619755,1712183798,,True,100,a74996c2,2024-04-04_00-36-38,49.0482611656189,12330.763122081757,32444,AT-MB-PC-EOS,127.0.0.1,12330.763122081757,100,128,6,0.2,0.001,a74996c2
0.08,0.58,0.09,0.53,0.6685365799595328,113.65121859312057,0.07,0.67,0.11,0.57,0.6312137031555176,15.78034257888794,1712173882,,True,5,a26dafb4,2024-04-03_21-51-22,274.7807972431183,1365.6523039340973,22508,AT-MB-PC-EOS,127.0.0.1,1365.6523039340973,5,256,10,0.5,1e-05,a26dafb4
0.08,0.92,0.16,0.61,0.28326467223027174,48.154994279146194,0.07,0.93,0.19,0.62,0.2640892374515533,6.602230936288834,1712173116,,True,5,45913d4b,2024-04-03_21-38-36,92.6931324005127,490.8764626979828,18376,AT-MB-PC-EOS,127.0.0.1,490.8764626979828,5,128,3,0.2,0.0001,45913d4b
0.08,0.93,0.27,0.75,0.2224505118587438,37.81658701598644,0.07,0.93,0.29,0.74,0.23895007669925689,5.973751917481422,1712175741,,True,15,7ac5dc18,2024-04-03_22-22-21,176.97908353805542,2617.092085123062,30932,AT-MB-PC-EOS,127.0.0.1,2617.092085123062,15,64,6,0.5,0.001,7ac5dc18
0.08,0.93,0.34,0.79,0.20904987712993342,35.53847911208868,0.07,0.93,0.32,0.75,0.22827943444252013,5.7069858610630035,1712178011,,True,15,8b8c72af,2024-04-03_23-00-11,277.62068915367126,4121.095117092133,21752,AT-MB-PC-EOS,127.0.0.1,4121.095117092133,15,256,10,0.2,0.001,8b8c72af
0.08,0.83,0.07,0.45,0.4520756260437124,76.8528564274311,0.07,0.87,0.07,0.44,0.4028653168678284,10.07163292169571,1712176248,,True,5,10c8a5b9,2024-04-03_22-30-48,100.45430660247803,494.3007082939148,11276,AT-MB-PC-EOS,127.0.0.1,494.3007082939148,5,256,3,0.5,1e-05,10c8a5b9
0.08,0.92,0.18,0.6,0.295413897756268,50.22036261856556,0.07,0.92,0.19,0.58,0.29575308501720426,7.393827125430107,1712177148,,True,5,305615e7,2024-04-03_22-45-48,175.04069018363953,891.7451832294464,13424,AT-MB-PC-EOS,127.0.0.1,891.7451832294464,5,128,6,0.0,0.0001,305615e7
0.08,0.92,0.2,0.68,0.25849892575951183,43.94481737911701,0.07,0.93,0.2,0.63,0.31473662763834,7.8684156909585,1712178541,,True,5,60cdef73,2024-04-03_23-09-01,277.0571138858795,1384.1382939815521,20688,AT-MB-PC-EOS,127.0.0.1,1384.1382939815521,5,64,10,0.2,0.001,60cdef73
0.08,0.61,0.09,0.51,0.6415021198637345,109.05536037683487,0.07,0.68,0.1,0.52,0.5797671318054199,14.494178295135498,1712178885,,True,5,7d07fc77,2024-04-03_23-14-45,166.17385506629944,865.9591233730316,6392,AT-MB-PC-EOS,127.0.0.1,865.9591233730316,5,256,6,0.5,1e-05,7d07fc77
0.08,0.92,0.15,0.61,0.28347416511353324,48.19060806930065,0.07,0.93,0.18,0.62,0.26284949004650116,6.571237251162529,1712179012,,True,5,4a89e7da,2024-04-03_23-16-52,77.61355519294739,462.02951312065125,15512,AT-MB-PC-EOS,127.0.0.1,462.02951312065125,5,256,3,0.2,0.0001,4a89e7da
